#Timestamp (LOCAL_TIME),TT66.BTV.660524:SCREEN
2016-08-15 23:58:55.506,12516.00
2016-08-15 23:58:56.507,10553.00
2016-08-15 23:58:57.508,8768.00
2016-08-15 23:58:58.509,8500.00
2016-08-16 00:53:50.974,8877.00
2016-08-16 00:53:51.975,10721.00
2016-08-16 00:53:52.975,11500.00
2016-08-16 01:02:46.374,12418.00
2016-08-16 01:02:47.375,14381.00
2016-08-16 01:02:48.375,16345.00
2016-08-16 01:02:49.376,18308.00
2016-08-16 01:02:50.377,20272.00
2016-08-16 01:02:51.378,22235.00
2016-08-16 01:02:52.378,24199.00
2016-08-16 01:02:53.379,26162.00
2016-08-16 01:02:54.380,28126.00
2016-08-16 01:02:55.381,30090.00
2016-08-16 01:02:56.381,32053.00
2016-08-16 01:02:57.382,34017.00
2016-08-16 01:02:58.383,35981.00
2016-08-16 01:02:59.384,37944.00
2016-08-16 01:03:00.385,39908.00
2016-08-16 01:03:01.385,41872.00
2016-08-16 01:03:02.386,43835.00
2016-08-16 01:03:03.387,45799.00
2016-08-16 01:03:04.388,47762.00
2016-08-16 01:03:05.388,49709.00
2016-08-16 01:03:06.389,50400.00
2016-08-16 01:16:23.988,48220.00
2016-08-16 01:16:24.989,46257.00
2016-08-16 01:16:25.990,44293.00
2016-08-16 01:16:26.991,42330.00
2016-08-16 01:16:27.991,40366.00
2016-08-16 01:16:28.992,38402.00
2016-08-16 01:16:29.993,36439.00
2016-08-16 01:16:30.994,34475.00
2016-08-16 01:16:31.994,32512.00
2016-08-16 01:16:32.995,30548.00
2016-08-16 01:16:33.996,28584.00
2016-08-16 01:16:34.997,26621.00
2016-08-16 01:16:35.997,24657.00
2016-08-16 01:16:36.998,22693.00
2016-08-16 01:16:37.999,20730.00
2016-08-16 01:16:39.000,18766.00
2016-08-16 01:16:40.000,16807.00
2016-08-16 01:16:41.001,16000.00
2016-08-16 01:27:17.481,17079.00
2016-08-16 01:27:18.482,17900.00
2016-08-16 01:36:26.894,18514.00
2016-08-16 01:36:27.895,20205.00
2016-08-16 01:47:03.374,20946.00
2016-08-16 01:47:04.375,22822.00
2016-08-16 01:47:05.376,23400.00
2016-08-16 01:55:55.775,24084.00
2016-08-16 01:55:56.776,25883.00
2016-08-16 01:55:57.776,26200.00
2016-08-16 02:04:39.169,27272.00
2016-08-16 02:04:40.169,29180.00
2016-08-16 02:04:41.170,29700.00
2016-08-16 02:11:58.501,31184.00
2016-08-16 02:11:59.502,32668.00
2016-08-16 02:25:21.106,32150.00
2016-08-16 02:25:22.107,30233.00
2016-08-16 02:25:23.107,28269.00
2016-08-16 02:25:24.108,26306.00
2016-08-16 02:25:25.109,24342.00
2016-08-16 02:25:26.110,23400.00
2016-08-16 02:30:08.322,22232.00
2016-08-16 02:30:09.323,20268.00
2016-08-16 02:30:10.323,18304.00
2016-08-16 02:30:11.324,16341.00
2016-08-16 02:30:12.325,14377.00
2016-08-16 02:30:13.325,12414.00
2016-08-16 02:30:14.326,10450.00
2016-08-16 02:30:15.327,8712.00
2016-08-16 02:30:16.328,8500.00
2016-08-16 02:36:39.617,8812.00
2016-08-16 02:36:40.618,10625.00
2016-08-16 02:36:41.619,11500.00
2016-08-16 02:42:16.871,12383.00
2016-08-16 02:42:17.872,14346.00
2016-08-16 02:42:18.872,16310.00
2016-08-16 02:42:19.873,18273.00
2016-08-16 02:42:20.874,20237.00
2016-08-16 02:42:21.875,22200.00
2016-08-16 02:42:22.875,23400.00
2016-08-16 02:47:49.120,24946.00
2016-08-16 02:47:50.121,26910.00
2016-08-16 02:47:51.122,28873.00
2016-08-16 02:47:52.123,30837.00
2016-08-16 02:47:53.123,32532.00
2016-08-16 02:53:27.376,33320.00
2016-08-16 02:53:28.377,35254.00
2016-08-16 02:53:29.378,37217.00
2016-08-16 02:53:30.378,39181.00
2016-08-16 02:53:31.379,41145.00
2016-08-16 02:53:32.380,43108.00
2016-08-16 02:53:33.381,45072.00
2016-08-16 02:53:34.381,47035.00
2016-08-16 02:53:35.382,48999.00
2016-08-16 02:53:36.383,50400.00
2016-08-16 02:59:49.664,49698.00
2016-08-16 02:59:50.665,47750.00
2016-08-16 02:59:51.666,45786.00
2016-08-16 02:59:52.667,43822.00
2016-08-16 02:59:53.667,41859.00
2016-08-16 02:59:54.668,39895.00
2016-08-16 02:59:55.669,37932.00
2016-08-16 02:59:56.670,35968.00
2016-08-16 02:59:57.670,34004.00
2016-08-16 02:59:58.671,32041.00
2016-08-16 02:59:59.672,30077.00
2016-08-16 03:00:00.673,28113.00
2016-08-16 03:00:01.673,26150.00
2016-08-16 03:00:02.674,24186.00
2016-08-16 03:00:03.675,22223.00
2016-08-16 03:00:04.676,20259.00
2016-08-16 03:00:05.676,18295.00
